belirti,hastalik
tek taraflı baş ağrısı yaşıyorum,Migren
ışığa karşı hassasiyetim var,Migren
baş ağrısı ve mide bulantısı oluyor,Migren
migren atağı geçiriyorum,Migren
yüksek sesler beni rahatsız ediyor,Migren
baş ağrım zonkluyor,Migren
karanlık odada durmak istiyorum,Migren
şiddetli migren ağrım var,Migren
baş ağrısı günlerce sürüyor,Migren
migren hastalığım var,Migren
başım çok ağrıyor,Migren
başımın bir tarafı ağrıyor,Migren
gözümün arkası ağrıyor,Migren
ışık rahatsız ediyor,Migren
ses rahatsız ediyor,Migren
baş ağrısı midemi bulandırdı,Migren
migren atağı başladı,Migren
karanlıkta durmak istiyorum,Migren
ağrı kesici işe yaramıyor,Migren
baş ağrısı gittikçe artıyor,Migren
baş ağrısıyla uyandım,Migren
başım çatlayacak gibi,Migren
eğilince başım ağrıyor,Migren
başımı oynatınca ağrı artıyor,Migren
baş ağrısı yüzünden yatıyorum,Migren
başım zonklaya zonklaya ağrıyor,Migren
başım ağrıyınca halsiz oluyorum,Migren
baş ağrısı gözümü yoruyor,Migren
başım ağrıyor ve midem bulanıyor,Migren
baş ağrısı saatlerdir geçmedi,Migren
sabah baş ağrısıyla uyandım,Migren
akşamdan beri başım ağrıyor,Migren
baş ağrısı beni bitirdi,Migren
ışık görünce başım ağrıyor,Migren
gürültü olunca başım ağrıyor,Migren
migren yine başladı,Migren
migren ağrısı yaşıyorum,Migren
baş ağrısı gün boyu sürdü,Migren
migren atağım var,Migren
baş ağrısı şiddetlendi,Migren
başım ağrıyor ışık gözümü alıyor,Migren
başım ağrıyınca kusuyorum,Migren
baş ağrısı hareketle artıyor,Migren
başım ağrıyor ve ses rahatsız ediyor,Migren
baş ağrısı yüzünden iş yapamıyorum,Migren
baş ağrısı sabah başladı,Migren
baş ağrısı akşam arttı,Migren
migren belirtileri var,Migren
baş ağrısı geçmiyor,Migren
yüksek ateşim var,Grip
üşüyorum ve ateşim var,Grip
vücudum çok kırgın,Grip
başım ağrıyor ve ateşim var,Grip
şiddetli halsizlik var,Grip
boğazım çok ağrıyor,Grip
burun akıntısı var,Grip
grip belirtileri yaşıyorum,Grip
terleme ve ateş var,Grip
soğuk ter döküyorum,Grip
kas ağrıları başladı,Grip
ateşle birlikte halsizlik var,Grip
yüksek ateşle yatıyorum,Grip
üşüme ve titreme var,Grip
şiddetli baş ağrısı var,Grip
öksürük ve ateş var,Grip
ateşim var ve halsizim,Grip
grip beni yere serdi,Grip
vücut ağrıları çok fazla,Grip
ateşli hasta oldum,Grip
yüksek ateş yüzünden yatıyorum,Grip
kaslarım tutulmuş gibi,Grip
grip yüzünden iş yapamıyorum,Grip
üşüyorum ve titriyorum,Grip
şiddetli grip geçiriyorum,Grip
ateşle birlikte öksürük var,Grip
başım ağrıyor ve halsizim,Grip
yüksek ateş ve kırgınlık var,Grip
ateşim 39 dereceye çıktı,Grip
kaslarım çok ağrıyor,Grip
ateş ve titreme yaşıyorum,Grip
vücudum çok kırgın,Grip
üşüme ve ateş var,Grip
grip oldum çok halsizim,Grip
kas ağrısı ve yüksek ateşim var,Grip
ateşli hastalık geçiriyorum,Grip
titreme ile birlikte ateşim yükseldi,Grip
şiddetli grip geçiriyorum,Grip
ateşli bir hastalık geçiriyorum,Grip
grip gibi hissediyorum,Grip
ateşim var titriyorum,Grip
yüksek ateşle üşüyorum,Grip
grip belirtileri arttı,Grip
kaslarım çok ağrıyor,Grip
grip ağır geçiyor,Grip
yüksek ateşim var,Grip
ateş ve titreme yaşıyorum,Grip
kaslarım çok ağrıyor,Grip
yüksek ateşle birlikte halsizlik var,Grip
kas ağrısı ve ateş var,Grip
üşüme ve titreme yaşıyorum,Grip
ateşim 39 derece,Grip
boğaz ağrısı ve ateş var,Grip
tüm vücudum ağrıyor,Grip
grip oldum çok halsizim,Grip
ateşleniyorum ve terliyorum,Grip
kaslarımda şiddetli ağrı var,Grip
yorgunluk ve yüksek ateş hissediyorum,Grip
grip belirtileri yaşıyorum,Grip
ateşli hastalık geçiriyorum,Grip
kas ve eklem ağrıları var,Grip
titreme ile birlikte ateşim yükseldi,Grip
baş ağrısı ve yüksek ateş var,Grip
şiddetli grip geçiriyorum,Grip
göğsümde baskı var,Kalp hastalığı
nefes nefese kalıyorum,Kalp hastalığı
göğüs ağrısı sol koluma vuruyor,Kalp hastalığı
merdiven çıkınca nefesim kesiliyor,Kalp hastalığı
kalbim sıkışıyor gibi,Kalp hastalığı
kalp ağrısı hissediyorum,Kalp hastalığı
nefes darlığı yaşıyorum,Kalp hastalığı
göğsümde yanma var,Kalp hastalığı
yürürken göğsüm ağrıyor,Kalp hastalığı
göğüs ağrısı ile terleme var,Kalp hastalığı
kalbimde baskı hissediyorum,Kalp hastalığı
kalp çarpıntısı ve ağrı var,Kalp hastalığı
göğsümde ağırlık var,Kalp hastalığı
kalp rahatsızlığı hissediyorum,Kalp hastalığı
eforla göğsüm ağrıyor,Kalp hastalığı
kalbim çabuk yoruluyor,Kalp hastalığı
göğüs ağrısı sık oluyor,Kalp hastalığı
kalp ağrısı sol kola yayılıyor,Kalp hastalığı
kalbim hızlı atıyor,Kalp hastalığı
göğüs ağrısı beni korkutuyor,Kalp hastalığı
kalp çarpıntısı yaşıyorum,Kalp hastalığı
göğsüm ağrıyınca duruyorum,Kalp hastalığı
nefes almakta zorlanıyorum,Kalp hastalığı
kalbimde sorun var gibi,Kalp hastalığı
göğüs ağrısı ve nefes darlığı var,Kalp hastalığı
kalbim sıkışıyor hissi var,Kalp hastalığı
sol kolum ağrıyor,Kalp hastalığı
sol kolum uyuştu,Kalp hastalığı
nefes alırken göğüsüm ağrıyor,Kalp hastalığı
kalp ağrısı sıklaştı,Kalp hastalığı
göğsümde baskı artıyor,Kalp hastalığı
yürüyünce göğsüm ağrıyor,Kalp hastalığı
kalp rahatsızlığı şüphesi var,Kalp hastalığı
göğüs ağrısı beni zorluyor,Kalp hastalığı
kalbimde baskı oluyor,Kalp hastalığı
göğsümde sıkışma oluyor,Kalp hastalığı
kalp çarpıntısı başladı,Kalp hastalığı
kalp ağrısı yüzünden duramıyorum,Kalp hastalığı
kalbim ağrıyormuş gibi,Kalp hastalığı
göğsümde basınç var,Kalp hastalığı
kalp ağrısı hissi var,Kalp hastalığı
kalbimde ağrı var,Kalp hastalığı
kalp rahatsızlığı yaşıyorum,Kalp hastalığı
göğüs ağrısı kalpten gibi,Kalp hastalığı
sabahları tutukluk oluyor,Eklem iltihabı
eklemlerimde şişlik var,Eklem iltihabı
hareket edince eklem ağrısı artıyor,Eklem iltihabı
parmak eklemlerim ağrıyor,Eklem iltihabı
dizlerim tutulmuş gibi,Eklem iltihabı
eklem ağrısı var,Eklem iltihabı
eklemlerimde sertlik var,Eklem iltihabı
eklemlerimde kızarıklık var,Eklem iltihabı
eklem ağrıları başladı,Eklem iltihabı
dizlerimde şişme var,Eklem iltihabı
hareket etmek zor geliyor,Eklem iltihabı
eklem ağrısı sabah daha kötü,Eklem iltihabı
eklemlerimde hassasiyet var,Eklem iltihabı
eklem iltihabı var gibi,Eklem iltihabı
dizim şiş ve ağrıyor,Eklem iltihabı
eklem ağrısı artıyor,Eklem iltihabı
eklemlerim sıcak gibi,Eklem iltihabı
diz eklemimde ağrı var,Eklem iltihabı
eklem ağrısı geçmiyor,Eklem iltihabı
parmak eklemlerim tutuluyor,Eklem iltihabı
eklemlerimde ağrı ve şişlik var,Eklem iltihabı
hareket edince dizim acıyor,Eklem iltihabı
eklem ağrısı uzun süredir var,Eklem iltihabı
eklemlerim sabah sert oluyor,Eklem iltihabı
eklem iltihabı belirtileri var,Eklem iltihabı
eklemlerimde ağrı hissediyorum,Eklem iltihabı
eklem ağrısı hareketle artıyor,Eklem iltihabı
eklemlerimde şişme başladı,Eklem iltihabı
dizlerim ağrıyor ve şiş,Eklem iltihabı
eklemlerimde tutukluk var,Eklem iltihabı
eklem ağrısı yüzünden zor yürüyorum,Eklem iltihabı
eklem ağrısı beni rahatsız ediyor,Eklem iltihabı
eklemlerimde sertlik hissediyorum,Eklem iltihabı
eklem iltihabı sorunum var,Eklem iltihabı
dizlerimde ağrı başladı,Eklem iltihabı
eklemlerimde ağrı artıyor,Eklem iltihabı
eklem ağrısı dinlenince azalmıyor,Eklem iltihabı
eklem ağrısı kalıcı gibi,Eklem iltihabı
eklem ağrısı günlük hayatı zorluyor,Eklem iltihabı
eklem iltihabı nedeniyle ağrım var,Eklem iltihabı
eklem ağrısı uzun sürüyor,Eklem iltihabı
eklemlerimde baskı var,Eklem iltihabı
eklem ağrısı beni yordu,Eklem iltihabı
eklemlerimde sızı var,Eklem iltihabı
nefes almakta zorlanıyorum,Astım
nefes darlığı var,Astım
hırıltılı nefes alıyorum,Astım
astım krizi geçiriyorum,Astım
nefes alırken hırıltı var,Astım
gece nefesim daralıyor,Astım
nefes almak zor geliyor,Astım
astım belirtileri başladı,Astım
nefes alıp vermekte zorlanıyorum,Astım
göğsüm tıkanmış gibi,Astım
hırıltı sesi geliyor,Astım
astım atağı var,Astım
nefes darlığı sıklaştı,Astım
nefes alırken zorlanıyorum,Astım
öksürük krizleri oluyor,Astım
nefes darlığı yaşıyorum,Astım
